#t	m1	m2	m3
762	0.9208	-0.182	0.4432
763	0.9232	-0.1748	0.4396
764	0.9184	-0.1746	0.4352
765	0.9184	-0.1886	0.432
766	0.916	-0.1894	0.43
767	0.9152	-0.194	0.4356
768	0.914	-0.202	0.4346
769	0.9162	-0.204	0.4258
770	0.9082	-0.2046	0.425
771	0.8954	-0.2046	0.4286
772	0.8954	-0.2148	0.4304
773	0.8942	-0.2152	0.4372
774	0.9	-0.2148	0.436
775	0.899	-0.2072	0.442
776	0.909	-0.2058	0.4476
777	0.9118	-0.2028	0.4462
778	0.9188	-0.1972	0.4522
779	0.9088	-0.201	0.4548
780	0.9036	-0.1988	0.4498
781	0.902	-0.21	0.4474
782	0.8946	-0.209	0.4412
783	0.8988	-0.2128	0.4386
784	0.9074	-0.215	0.4388
785	0.9044	-0.2126	0.4396
786	0.9	-0.2064	0.4376
787	0.91	-0.2066	0.4456
788	0.9176	-0.2058	0.4518
789	0.9146	-0.1992	0.445
790	0.9178	-0.1918	0.4452
791	0.9122	-0.206	0.4502
792	0.9138	-0.212	0.4498
793	0.9064	-0.1972	0.444
794	0.9108	-0.2052	0.4508
795	0.9154	-0.1984	0.4512
796	0.9148	-0.1902	0.455
797	0.9086	-0.1832	0.4586
798	0.9186	-0.1798	0.4548
799	0.922	-0.177	0.4486
800	0.923	-0.1778	0.445
801	0.9234	-0.1762	0.4492
802	0.9216	-0.1754	0.4514
